i,j,ux,uy,phase
3,48,-1.32709e-06,-7.77095e-07,-1
3,49,-1.33518e-06,-3.87793e-07,-1
3,50,-1.33785e-06,-1.23366e-14,-1
3,51,-1.33518e-06,3.87793e-07,-1
3,52,-1.32709e-06,7.77095e-07,-1
3,53,-1.31339e-06,1.16903e-06,-1
3,54,-1.29382e-06,1.56401e-06,-1
3,55,-1.26822e-06,1.96157e-06,-1
3,56,-1.23652e-06,2.36034e-06,-1
3,57,-1.19888e-06,2.7581e-06,-1
3,58,-1.1556e-06,3.15204e-06,-1
3,59,-1.10714e-06,3.53898e-06,-1
3,60,-1.05399e-06,3.91558e-06,-1
3,61,-9.96588e-07,4.27858e-06,-1
3,62,-9.3525e-07,4.62486e-06,-1
3,63,-8.7009e-07,4.95153e-06,-1
3,64,-8.01008e-07,5.2559e-06,-1
3,65,-7.27688e-07,5.53545e-06,-1
3,66,-6.49633e-07,5.78774e-06,-1
3,67,-5.66224e-07,6.01033e-06,-1
3,68,-4.76792e-07,6.20077e-06,-1
3,69,-3.80702e-07,6.35651e-06,-1
3,70,-2.77447e-07,6.47497e-06,-1
3,71,-1.66732e-07,6.5535e-06,-1
3,72,-4.85646e-08,6.58952e-06,-1
3,73,7.66709e-08,6.58061e-06,-1
3,74,2.08149e-07,6.52462e-06,-1
3,75,3.44548e-07,6.41985e-06,-1
3,76,4.84013e-07,6.26526e-06,-1
3,77,6.24133e-07,6.0606e-06,-1
3,78,7.6195e-07,5.80669e-06,-1
3,79,8.94001e-07,5.50554e-06,-1
3,80,1.01642e-06,5.16058e-06,-1
3,81,1.12508e-06,4.77672e-06,-1
3,82,1.21583e-06,4.36035e-06,-1
3,83,1.28475e-06,3.91931e-06,-1
3,84,1.32848e-06,3.46263e-06,-1
3,85,1.34448e-06,3.00021e-06,-1
3,86,1.33133e-06,2.54245e-06,-1
3,87,1.28894e-06,2.09969e-06,-1
3,88,1.2186e-06,1.68178e-06,-1
3,89,1.12306e-06,1.29755e-06,-1
3,90,1.00633e-06,9.544e-07,-1
3,91,8.73567e-07,6.57941e-07,-1
3,92,7.3071e-07,4.11749e-07,-1
3,93,5.84217e-07,2.17241e-07,-1
3,94,4.40697e-07,7.3653e-08,-1
3,95,3.06588e-07,-2.18814e-08,-1
3,96,1.87848e-07,-7.41643e-08,-1
3,97,8.96971e-08,-8.96971e-08,-1
3,98,1.64067e-08,-7.63925e-08,-1
3,99,-2.88622e-08,-4.32488e-08,-1
4,0,-1.04132e-07,-3.50986e-15,-1
4,1,-8.37755e-08,7.58185e-08,-1
4,2,-2.35282e-08,1.4166e-07,-1
4,3,7.41643e-08,1.87848e-07,-1
4,4,2.05304e-07,2.05304e-07,-1
4,5,3.6446e-07,1.85851e-07,-1
4,6,5.44952e-07,1.22512e-07,-1
4,7,7.39088e-07,9.79426e-09,-1
4,8,9.38474e-07,-1.56043e-07,-1
4,9,1.13438e-06,-3.76768e-07,-1
4,10,1.31818e-06,-6.52014e-07,-1
4,11,1.48173e-06,-9.79202e-07,-1
4,12,1.61789e-06,-1.35356e-06,-1
4,13,1.72085e-06,-1.76828e-06,-1
4,14,1.78647e-06,-2.21476e-06,-1
4,15,1.81251e-06,-2.68303e-06,-1
4,16,1.79861e-06,-3.16218e-06,-1
4,17,1.74629e-06,-3.64096e-06,-1
4,18,1.65866e-06,-4.10826e-06,-1
4,19,1.54009e-06,-4.55373e-06,-1
4,20,1.39582e-06,-4.9681e-06,-1
4,21,1.23153e-06,-5.3436e-06,-1
4,22,1.05292e-06,-5.67406e-06,-1
4,23,8.65383e-07,-5.95499e-06,-1
4,24,6.738e-07,-6.18347e-06,-1
4,25,4.82341e-07,-6.35802e-06,-1
4,26,2.94421e-07,-6.47836e-06,-1
4,27,1.12686e-07,-6.54519e-06,-1
4,28,-6.09497e-08,-6.55996e-06,-1
4,29,-2.25245e-07,-6.52468e-06,-1
4,30,-3.79549e-07,-6.44177e-06,-1
4,31,-5.23708e-07,-6.31388e-06,-1
4,32,-6.57955e-07,-6.14385e-06,-1
4,33,-7.82785e-07,-5.93461e-06,-1
4,34,-8.98832e-07,-5.68917e-06,-1
4,35,-1.00673e-06,-5.41066e-06,-1
4,36,-1.10702e-06,-5.10237e-06,-1
4,37,-1.20001e-06,-4.76784e-06,-1
4,38,-1.28578e-06,-4.411e-06,-1
4,39,-1.36411e-06,-4.03619e-06,-1
4,40,-1.43458e-06,-3.64821e-06,-1
4,41,-1.49661e-06,-3.25224e-06,-1
4,42,-1.54967e-06,-2.8537e-06,-1
